stamp_sec,stamp_nsec,status,service,latitude,longitude
1744809734,0,1,1,25.758255004882812,-80.37388610839844
1744809735,0,1,1,25.758251190185547,-80.37388610839844
1744809736,0,1,1,25.75824546813965,-80.37388610839844
1744809737,0,1,1,25.758241653442383,-80.37388610839844
1744809738,0,1,1,25.758235931396484,-80.37388610839844
1744809739,0,1,1,25.758228302001953,-80.37388610839844
1744809740,0,1,1,25.758222579956055,-80.37388610839844
1744809742,0,1,1,25.758207321166992,-80.37388610839844
1744809743,0,1,1,25.758201599121094,-80.37388610839844
1744809744,0,1,1,25.758193969726562,-80.37388610839844
1744809745,0,1,1,25.75818634033203,-80.37388610839844
1744809746,0,1,1,25.7581787109375,-80.37388610839844
1744809747,0,1,1,25.75817108154297,-80.37388610839844
1744809749,0,1,1,25.758155822753906,-80.3738784790039
1744809750,0,1,1,25.758150100708008,-80.3738784790039
1744809751,0,1,1,25.758140563964844,-80.3738784790039
1744809752,0,1,1,25.758132934570312,-80.3738784790039
1744809753,0,1,1,25.75812530517578,-80.3738784790039
1744809754,0,1,1,25.75811767578125,-80.3738784790039
1744809756,0,1,1,25.758102416992188,-80.3738784790039
1744809757,0,1,1,25.758094787597656,-80.3738784790039
1744809758,0,1,1,25.758087158203125,-80.3738784790039
1744809759,0,1,1,25.758079528808594,-80.3738784790039
1744809760,0,1,1,25.758071899414062,-80.3738784790039
1744809761,0,1,1,25.75806427001953,-80.3738784790039
1744809762,0,1,1,25.758056640625,-80.3738784790039
1744809764,0,1,1,25.758041381835938,-80.3738784790039
1744809765,0,1,1,25.758033752441406,-80.3738784790039
1744809766,0,1,1,25.758026123046875,-80.3738784790039
1744809767,0,1,1,25.758018493652344,-80.3738784790039
1744809768,0,1,1,25.758010864257812,-80.3738784790039
1744809769,0,1,1,25.75800323486328,-80.3738784790039
1744809770,0,1,1,25.75799560546875,-80.37388610839844
1744809772,0,1,1,25.757978439331055,-80.37388610839844
1744809773,0,1,1,25.757970809936523,-80.37388610839844
1744809774,0,1,1,25.757965087890625,-80.37388610839844
1744809775,0,1,1,25.757959365844727,-80.37388610839844
1744809776,0,1,1,25.75795555114746,-80.37388610839844
1744809777,0,1,1,25.757949829101562,-80.37388610839844
1744809778,0,1,1,25.757946014404297,-80.37388610839844
1744809779,0,1,1,25.75794219970703,-80.37389373779297
1744809781,0,1,1,25.757932662963867,-80.37389373779297
1744809782,0,1,1,25.757930755615234,-80.37388610839844
1744809783,0,1,1,25.7579288482666,-80.37388610839844
1744809784,0,1,1,25.75792694091797,-80.37388610839844
1744809785,0,1,1,25.75792694091797,-80.3738784790039
1744809786,0,1,1,25.757925033569336,-80.3738784790039
1744809787,0,1,1,25.757925033569336,-80.37387084960938
1744809789,0,1,1,25.757923126220703,-80.37386322021484
1744809790,0,1,1,25.75792121887207,-80.37385559082031
1744809791,0,1,1,25.75792121887207,-80.37385559082031
1744809792,0,1,1,25.75792121887207,-80.37384796142578
1744809793,0,1,1,25.757919311523438,-80.37384033203125
1744809794,0,1,1,25.757919311523438,-80.37383270263672
1744809795,0,1,1,25.757917404174805,-80.37382507324219
1744809797,0,1,1,25.757917404174805,-80.37380981445312
1744809798,0,1,1,25.757915496826172,-80.3738021850586
1744809799,0,1,1,25.757915496826172,-80.37378692626953
1744809800,0,1,1,25.75791358947754,-80.373779296875
1744809801,0,1,1,25.75791358947754,-80.37377166748047
1744809804,0,1,1,25.757909774780273,-80.37374877929688
1744809805,0,1,1,25.757909774780273,-80.37374114990234
1744809806,0,1,1,25.75790786743164,-80.37373352050781
1744809807,0,1,1,25.75790786743164,-80.37371826171875
1744809808,0,1,1,25.757905960083008,-80.37371063232422
1744809809,0,1,1,25.757905960083008,-80.37370300292969
1744809810,0,1,1,25.757904052734375,-80.37369537353516
1744809811,0,1,1,25.757904052734375,-80.37368774414062
1744809813,0,1,1,25.757902145385742,-80.37367248535156
1744809814,0,1,1,25.75790023803711,-80.37366485595703
1744809815,0,1,1,25.75790023803711,-80.37364959716797
1744809816,0,1,1,25.757898330688477,-80.37364196777344
1744809817,0,1,1,25.757898330688477,-80.3736343383789
1744809818,0,1,1,25.757896423339844,-80.37362670898438
1744809820,0,1,1,25.75789451599121,-80.37361145019531
1744809821,0,1,1,25.757892608642578,-80.37360382080078
1744809822,0,1,1,25.757892608642578,-80.37358856201172
1744809823,0,1,1,25.757890701293945,-80.37358093261719
1744809824,0,1,1,25.757890701293945,-80.37357330322266
1744809825,0,1,1,25.757888793945312,-80.37356567382812
1744809827,0,1,1,25.75788688659668,-80.37355041503906
1744809829,0,1,1,25.75788688659668,-80.37354278564453
1744809829,0,1,1,25.757884979248047,-80.37353515625
1744809830,0,1,1,25.757883071899414,-80.37352752685547
1744809832,0,1,1,25.757883071899414,-80.3735122680664
1744809833,0,1,1,25.75788116455078,-80.37350463867188
1744809835,0,1,1,25.75787925720215,-80.37348937988281
1744809836,0,1,1,25.75787925720215,-80.37348175048828
1744809837,0,1,1,25.757877349853516,-80.37347412109375
1744809838,0,1,1,25.757877349853516,-80.37346649169922
1744809839,0,1,1,25.757875442504883,-80.37345886230469
1744809840,0,1,1,25.75787353515625,-80.37344360351562
1744809841,0,1,1,25.75787353515625,-80.3734359741211
1744809843,0,1,1,25.757871627807617,-80.37342071533203
1744809844,0,1,1,25.757869720458984,-80.3734130859375
1744809845,0,1,1,25.757869720458984,-80.37340545654297
1744809847,0,1,1,25.75786781311035,-80.3733901977539
1744809848,0,1,1,25.757869720458984,-80.3733901977539
1744809850,0,1,1,25.757875442504883,-80.37338256835938
1744809852,0,1,1,25.75788116455078,-80.37337493896484
1744809853,0,1,1,25.757883071899414,-80.37337493896484
1744809854,0,1,1,25.75788688659668,-80.37337493896484
1744809855,0,1,1,25.757890701293945,-80.37337493896484
1744809856,0,1,1,25.75789451599121,-80.37337493896484
1744809857,0,1,1,25.75790023803711,-80.37337493896484
1744809858,0,1,1,25.757905960083008,-80.37337493896484
1744809860,0,1,1,25.757919311523438,-80.37337493896484
1744809861,0,1,1,25.757925033569336,-80.37338256835938
1744809862,0,1,1,25.757932662963867,-80.37338256835938
1744809863,0,1,1,25.7579402923584,-80.37338256835938
1744809864,0,1,1,25.75794792175293,-80.37338256835938
1744809865,0,1,1,25.75795555114746,-80.37338256835938
1744809867,0,1,1,25.757970809936523,-80.37338256835938
1744809868,0,1,1,25.757978439331055,-80.37338256835938
1744809869,0,1,1,25.757986068725586,-80.37338256835938
1744809870,0,1,1,25.757993698120117,-80.37338256835938
1744809871,0,1,1,25.75800132751465,-80.37338256835938
1744809872,0,1,1,25.75800895690918,-80.37338256835938
1744809874,0,1,1,25.758026123046875,-80.37338256835938
1744809875,0,1,1,25.758033752441406,-80.37338256835938
1744809876,0,1,1,25.758041381835938,-80.37338256835938
1744809877,0,1,1,25.7580509185791,-80.37338256835938
1744809878,0,1,1,25.758058547973633,-80.37338256835938
1744809880,0,1,1,25.758073806762695,-80.37338256835938
1744809881,0,1,1,25.758081436157227,-80.37338256835938
1744809882,0,1,1,25.758089065551758,-80.37338256835938
1744809883,0,1,1,25.758098602294922,-80.37338256835938
1744809884,0,1,1,25.758106231689453,-80.37338256835938
1744809885,0,1,1,25.758113861083984,-80.37338256835938
1744809886,0,1,1,25.758121490478516,-80.37338256835938
1744809887,0,1,1,25.758129119873047,-80.37338256835938
1744809889,0,1,1,25.758146286010742,-80.37338256835938
1744809891,0,1,1,25.758161544799805,-80.37338256835938
1744809892,0,1,1,25.758169174194336,-80.37338256835938
1744809893,0,1,1,25.7581787109375,-80.37338256835938
1744809894,0,1,1,25.75818634033203,-80.37338256835938
1744809895,0,1,1,25.758193969726562,-80.37338256835938
1744809897,0,1,1,25.758209228515625,-80.37338256835938
1744809898,0,1,1,25.758216857910156,-80.37338256835938
1744809899,0,1,1,25.758222579956055,-80.37338256835938
1744809900,0,1,1,25.758228302001953,-80.37338256835938
1744809901,0,1,1,25.75823211669922,-80.37338256835938
1744809902,0,1,1,25.758237838745117,-80.3733901977539
1744809903,0,1,1,25.758241653442383,-80.3733901977539
1744809905,0,1,1,25.75824546813965,-80.37339782714844
1744809906,0,1,1,25.75824737548828,-80.37340545654297
1744809907,0,1,1,25.758249282836914,-80.37340545654297
1744809908,0,1,1,25.758251190185547,-80.3734130859375
1744809909,0,1,1,25.75825309753418,-80.37342071533203
1744809910,0,1,1,25.75825309753418,-80.37342071533203
1744809911,0,1,1,25.758255004882812,-80.37342834472656
1744809913,0,1,1,25.758255004882812,-80.37344360351562
1744809914,0,1,1,25.758255004882812,-80.37345886230469
1744809915,0,1,1,25.758255004882812,-80.37346649169922
1744809916,0,1,1,25.758255004882812,-80.37347412109375
1744809917,0,1,1,25.758255004882812,-80.37348175048828
1744809919,0,1,1,25.758255004882812,-80.37349700927734
1744809920,0,1,1,25.75825309753418,-80.37350463867188
1744809922,0,1,1,25.75825309753418,-80.37351989746094
1744809923,0,1,1,25.75825309753418,-80.37352752685547
1744809924,0,1,1,25.75825309753418,-80.37354278564453
1744809925,0,1,1,25.758251190185547,-80.37355041503906
1744809927,0,1,1,25.758251190185547,-80.37356567382812
1744809929,0,1,1,25.758251190185547,-80.37357330322266
1744809929,0,1,1,25.758251190185547,-80.37358093261719
1744809930,0,1,1,25.758251190185547,-80.37358856201172
1744809931,0,1,1,25.758249282836914,-80.37359619140625
1744809932,0,1,1,25.758249282836914,-80.37360382080078
1744809934,0,1,1,25.758249282836914,-80.37361907958984
1744809936,0,1,1,25.758249282836914,-80.3736343383789
1744809937,0,1,1,25.758249282836914,-80.37364196777344
1744809938,0,1,1,25.758249282836914,-80.37364959716797
1744809939,0,1,1,25.75824737548828,-80.3736572265625
1744809940,0,1,1,25.75824737548828,-80.37367248535156
1744809942,0,1,1,25.75824737548828,-80.37368774414062
1744809943,0,1,1,25.75824737548828,-80.37369537353516
1744809944,0,1,1,25.75824737548828,-80.37370300292969
1744809945,0,1,1,25.75824737548828,-80.37371063232422
1744809946,0,1,1,25.75824737548828,-80.37371826171875
1744809947,0,1,1,25.75824737548828,-80.37373352050781
1744809949,0,1,1,25.75824737548828,-80.37374877929688
1744809950,0,1,1,25.75824546813965,-80.3737564086914
1744809951,0,1,1,0.0,0.0
1744809952,0,1,1,25.75824546813965,-80.37377166748047
1744809953,0,1,1,25.75824737548828,-80.373779296875
1744809954,0,1,1,25.75824737548828,-80.373779296875
1744809956,0,1,1,25.758251190185547,-80.37379455566406
1744809957,0,1,1,25.75825309753418,-80.37379455566406
1744809958,0,1,1,25.758251190185547,-80.3738021850586
1744809959,0,1,1,25.758249282836914,-80.3738021850586
1744809960,0,1,1,25.75824737548828,-80.37380981445312
1744809961,0,1,1,25.758243560791016,-80.37380981445312
1744809963,0,1,1,25.758237838745117,-80.37380981445312
1744809964,0,1,1,25.758235931396484,-80.37380981445312
1744809965,0,1,1,25.758230209350586,-80.37380981445312
1744809966,0,1,1,25.75822639465332,-80.37380981445312
1744809967,0,1,1,25.758220672607422,-80.37380981445312
1744809968,0,1,1,25.758214950561523,-80.37380981445312
