stamp_sec,stamp_nsec,current_id,relative_rad,feature_count
1744809970,820350573,239,0.0,0
1744809972,19091449,240,0.0,0
1744809972,922589809,238,0.0,0
1744809975,21256057,239,0.0,0
1744809975,21256057,241,0.0,0
1744809976,824060145,242,0.0,0
1744809978,23391493,243,0.0,0
1744809978,924115465,244,0.0,0
1744809979,827282097,245,0.0,0
1744809981,25548097,246,0.0,0
1744809982,827233125,247,0.0,0
1744809984,27637585,248,0.0,0
1744809984,928375909,249,0.0,0
1744809985,828943053,250,0.0,0
1744809987,29843641,250,0.0,0
1744809987,931588117,248,0.0,0
1744809988,833186205,251,0.0,0
1744809990,934835869,251,0.0,0
1744809991,836008497,251,0.0,0
1744809993,34046029,251,0.0,0
1744809993,937411021,251,0.0,0
1744809994,838209369,252,0.0,0
1744809996,36238465,252,0.0,0
1744809996,936955081,253,0.0,0
1744809999,39140929,253,0.0,0
1744809999,938913733,254,0.0,0
1744810000,841937805,254,0.0,0
1744810002,40362421,254,0.0,0
1744810002,941056849,254,0.0,0
1744810003,844357053,255,0.0,0
1744810005,944604577,255,0.0,0
1744810006,845965701,255,0.0,0
1744810008,44663293,256,0.0,0
1744810008,948376777,256,0.0,0
1744810011,46911577,256,0.0,0
1744810011,950333485,256,0.0,0
1744810012,850092129,257,0.0,0
1744810014,48800653,257,0.0,0
1744810014,949555969,258,0.0,0
1744810015,850457601,258,0.0,0
1744810017,950991253,258,0.0,0
1744810018,852125685,259,0.0,0
1744810020,956392189,259,0.0,0
1744810023,55156513,260,0.0,0
1744810023,55156513,261,0.0,0
1744810023,958532089,262,0.0,0
1744810026,57441721,263,0.0,0
1744810026,957792241,264,0.0,0
1744810027,858435453,264,0.0,0
1744810029,60265657,265,0.0,0
1744810029,960539161,266,0.0,0
1744810030,861875181,267,0.0,0
1744810032,963090853,267,0.0,0
1744810033,862664037,268,0.0,0
1744810035,964169053,268,0.0,0
1744810036,867238773,269,0.0,0
1744810038,65470069,270,0.0,0
1744810038,967791661,271,0.0,0
1744810039,869025057,272,0.0,0
1744810041,968123173,272,0.0,0
1744810042,871163889,273,0.0,0
1744810044,69541597,274,0.0,0
1744810044,970243993,275,0.0,0
1744810045,871792725,276,0.0,0
1744810047,78258973,277,0.0,0
1744810048,872900361,215,0.0,0
1744810050,74266345,278,0.0,0
1744810050,974291917,279,0.0,0
1744810051,874954785,218,0.0,0
1744810053,75921097,219,0.0,0
1744810053,976405825,220,0.0,0
1744810054,877044345,221,0.0,0
1744810056,978456241,280,0.0,0
1744810057,881424825,280,0.0,0
1744810059,79828525,280,0.0,0
1744810059,980592601,280,0.0,0
1744810060,883481505,221,0.0,0
1744810061,781641161,221,0.0,0
1744810062,982396681,221,0.0,0
1744810064,784210625,221,0.0,0
1744810065,984209041,222,0.0,0
1744810066,886645377,281,0.0,0
1744810068,86626273,281,0.0,0
1744810068,987020017,281,0.0,0
1744810069,889629633,282,0.0,0
1744810071,88387453,283,0.0,0
1744810071,988459189,283,0.0,0
1744810074,90617881,283,0.0,0
1744810074,991229929,284,0.0,0
1744810075,891306585,284,0.0,0
1744810077,92221273,284,0.0,0
1744810078,895456329,284,0.0,0
1744810079,794128745,285,0.0,0
1744810081,898096257,285,0.0,0
1744810082,798531533,285,0.0,0
1744810083,999130669,286,0.0,0
1744810084,899023473,286,0.0,0
1744810086,97911157,286,0.0,0
1744810086,999013573,286,0.0,0
1744810088,211779257,286,0.0,0
1744810089,100144297,286,0.0,0
1744810090,901215273,287,0.0,0
1744810092,102438049,287,0.0,0
1744810093,906106233,288,0.0,0
1744810094,805379573,289,0.0,0
1744810095,108655609,229,0.0,0
1744810096,908138457,290,0.0,0
1744810098,106427701,291,0.0,0
1744810099,6463713,292,0.0,0
1744810099,907211577,293,0.0,0
1744810101,113802313,294,0.0,0
1744810102,8143341,295,0.0,0
1744810103,811169477,296,0.0,0
1744810105,10385625,297,0.0,0
1744810105,910922925,298,0.0,0
1744810106,811719509,299,0.0,0
1744810108,12431313,300,0.0,0
1744810108,913215573,301,0.0,0
1744810111,14487381,302,0.0,0
1744810111,915152685,240,0.0,0
1744810112,815787113,302,0.0,0
1744810114,16828101,239,0.0,0
1744810114,919776441,241,0.0,0
1744810115,818051261,238,0.0,0
1744810117,18283965,238,0.0,0
1744810118,819586181,303,0.0,0
1744810120,20185221,303,0.0,0
1744810121,821560109,304,0.0,0
1744810122,121675837,304,0.0,0
1744810123,923102073,305,0.0,0
1744810124,232564889,304,0.0,0
1744810124,824046953,306,0.0,0
1744810126,924883425,307,0.0,0
1744810127,828397817,245,0.0,0
1744810129,26190693,247,0.0,0
1744810129,927360849,308,0.0,0
1744810132,28711401,249,0.0,0
1744810132,28711401,309,0.0,0
1744810132,929566701,309,0.0,0
1744810133,832136465,251,0.0,0
1744810136,831429101,251,0.0,0
1744810138,32174313,251,0.0,0
1744810138,932320365,251,0.0,0
1744810139,833323493,251,0.0,0
1744810141,34042677,252,0.0,0
1744810142,835160285,252,0.0,0
1744810144,35963325,252,0.0,0
1744810144,936670653,252,0.0,0
1744810145,837173453,252,0.0,0
1744810147,38522049,310,0.0,0
1744810148,839395337,310,0.0,0
1744810150,40505073,311,0.0,0
1744810150,941621937,311,0.0,0
1744810151,842361725,312,0.0,0
1744810153,42506421,312,0.0,0
1744810153,942608385,312,0.0,0
1744810154,845525189,312,0.0,0
1744810156,43908621,313,0.0,0
1744810157,844890029,313,0.0,0
1744810159,45542625,314,0.0,0
1744810159,947183409,314,0.0,0
1744810160,847184501,257,0.0,0
1744810162,47489973,257,0.0,0
1744810163,848665913,315,0.0,0
1744810165,49435989,315,0.0,0
1744810165,952393089,315,0.0,0
1744810166,853293125,316,0.0,0
1744810168,51355689,317,0.0,0
1744810169,855011045,317,0.0,0
1744810170,152921221,318,0.0,0
1744810171,953891529,319,0.0,0
1744810172,854927609,319,0.0,0
1744810174,55586397,320,0.0,0
1744810174,958478181,321,0.0,0
1744810175,859057217,322,0.0,0
1744810177,62073237,323,0.0,0
1744810178,859236221,324,0.0,0
1744810180,58972029,325,0.0,0
1744810180,959553021,326,0.0,0
1744810181,860050973,327,0.0,0
1744810183,61245741,328,0.0,0
1744810183,962089425,329,0.0,0
1744810186,65009457,330,0.0,0
1744810187,864352709,331,0.0,0
1744810189,64582185,331,0.0,0
1744810189,967973445,332,0.0,0
1744810190,868553777,333,0.0,0
1744810192,67059645,334,0.0,0
1744810193,869897141,335,0.0,0
1744810195,68682045,335,0.0,0
1744810195,970027665,216,0.0,0
1744810196,869436557,336,0.0,0
1744810198,70239333,278,0.0,0
1744810198,970895061,337,0.0,0
1744810199,871046105,338,0.0,0
1744810201,972432021,218,0.0,0
1744810202,873205121,278,0.0,0
1744810204,73962513,337,0.0,0
1744810204,974608773,339,0.0,0
1744810205,877770005,339,0.0,0
1744810207,979115481,340,0.0,0
1744810208,877221437,340,0.0,0
1744810210,78064185,340,0.0,0
1744810210,980979093,340,0.0,0
1744810211,878874761,283,0.0,0
1744810213,79556589,340,0.0,0
1744810213,983128713,341,0.0,0
1744810216,81394665,341,0.0,0
1744810216,983159025,341,0.0,0
1744810217,883014641,341,0.0,0
1744810219,83623413,341,0.0,0
1744810219,985788213,285,0.0,0
1744810220,884326589,285,0.0,0
1744810221,785134009,285,0.0,0
1744810223,889082609,285,0.0,0
1744810224,789324217,285,0.0,0
1744810225,988195809,285,0.0,0
1744810226,888130385,286,0.0,0
1744810227,791099725,285,0.0,0
1744810228,989861985,285,0.0,0
1744810230,793292953,342,0.0,0
1744810231,991217517,343,0.0,0
1744810232,892162409,343,0.0,0
1744810234,92102445,343,0.0,0
1744810235,893501189,342,0.0,0
1744810236,193754917,342,0.0,0
1744810237,94316193,342,0.0,0
1744810240,100738893,342,0.0,0
1744810240,996708993,344,0.0,0
1744810241,897009809,344,0.0,0
1744810243,98021985,344,0.0,0
1744810243,998459733,345,0.0,0
1744810244,899271785,345,0.0,0
1744810247,397721,345,0.0,0
